Grid Ref,NPOR Church,Full Name,Post Code,Status,Comp Year
NN066585,St John's,"Ballachulish, St John's",,Yes,1878
NJ943062,Mechanic's Institute,"Aberdeen, Mechanic's Institute", AB11 5PY ,Scrap,1879
NN032614,St Bride's Episcopal,"Ballachulish, St Bride's Episcopal",PH33 6RZ ,Yes,1879
NJ941066,St. Paul's Episcopal,"Aberdeen, St. Paul's Episcopal",AB25 1DL,Scrap,1880
NJ345587,Bellie Parish Church,"Fochabers, Bellie Parish Church",IV32 7DG,Overhaul,1880
NT262765,North Leith,"Leith, North Leith",EH6 4AW,Yes,1880
NN115270,Residence of Campbell-Muir,"Lochawe, Residence of Campbell-Muir",PA33 1AQ,Yes-,1880
NJ939067,Zion Chapel,"Aberdeen, Zion Chapel", AB25 1BT ,Scrap,1881
NJ941066,St. Paul,"Aberdeen, St. Paul", AB25 1GA ,Overhaul,1881
NJ213630,Holy Trinity Episcopal,"Elgin, Holy Trinity Episcopal",IV30 1UL,Yes,1881
NO860850,St. James the Great Episcopal,"Stonehaven , St. James the Great Episcopal",,Yes+,1881
NJ918046,Mannofield Parish Church,"Aberdeen, Mannofield Parish Church", AB10 6UZ ,Scrap,1882
NJ930061,Melville Parish Church,"Aberdeen, Melville Parish Church", AB10 1PP ,Scrap,1882
NO246483,St Ninians Episcopal,"Alyth, St Ninians Episcopal",PH11 8AJ,Scrap,1882
NO895926,St Ternan's,"Muchalls, St Ternan's",AB31 5TB,Yes+,1882
NO598601,City Road UF,"Brechin, City Road UF",DD9 6DL,Scrap,1883
NO377316,"St Luke's, Lochee","Dundee, St Luke's, Lochee",DD2 3HG,Moved,1883
NO850990,Trinity Church,"Maryculter , Trinity Church", AB12 5GZ ,Scrap,1883
NT264718,Salisbury Parish,"Newington, Salisbury Parish",,Scrap,1883
ND360500,Old Parish,"Wick, Old Parish",,Yes,1883
NJ934058,St. James the Less,"Aberdeen, St. James the Less", AB10 6BS ,Yes,1884
NJ939059,St James',"Aberdeen, St James'",AB11 6EX,Moved,1884
NJ939065,Robert Gordon's College,"Aberdeen, Robert Gordon's College", AB10 1FE ,rebuild,1885
NJ940058,St. John the Evangelist,"Aberdeen, St. John the Evangelist", AB11 6HE ,Scrap,1881
NO404303,Cathedral Church of St. Paul,"Dundee, Cathedral Church of St. Paul", DD1 1TD ,rebuild,1885
NJ218628,St Giles' ,"Elgin, St Giles' ",IV30 1EQ,rebuild,1885
NJ933062,Skene Street Congregational Church,"Aberdeen, Skene Street Congregational Church", AB10 1PE ,Overhaul,1886
NJ938060,Music Hall,"Aberdeen, Music Hall", AB10 1QS ,Overhaul,1886
NJ935064,Rosemount,"Aberdeen, Rosemount",n/t,Scrap,1886
NJ940073,St Margaret of Antioch Covent,"Aberdeen, St Margaret of Antioch Covent",AB24 3HT,Moved,1886
Nj936062,"Unitarian, 43a Skene St","Aberdeen, Unitarian, 43a Skene St",AB10 1RN,Scrap,1886
NT965543,Church,"Edrom, Church",,Unknown,1886
NO651735, Parish,"Fettercairn,  Parish",AB30 1XY,Yes,1886
NJ940063,St. Nicholas East Kirk,"Aberdeen, St. Nicholas East Kirk", AB10 1JZ ,Scrap,1887
NO706958,Ternan East Parish,"Banchory , Ternan East Parish",AB31 5YP,Yes+,1887
NO595603,St Andrew's East,"Brechin, St Andrew's East", DD9 6JL,Scrap,1888
NJ411509,Holy Trinity Episcopal,"Keith , Holy Trinity Episcopal",,Yes,1887
NN115267,St Conan's,"Lochawe, St Conan's",PA33 1AQ,Yes-,1880
NJ895016,Mr Ogston,"Maryculter , Mr Ogston",AB12 5YP,Scrap,1887
NJ394327,Mortlach Parish,"Dufftown, Mortlach Parish",AB55 4BR,Yes+,1888
NT261734,Lady Yester Kirk,"Edinburgh, Lady Yester Kirk",,Scrap,1888
NN869170,St.James' Episcopal,"Muthill, St.James' Episcopal",PH5 2AR,Yes,1888
NT319641,Cockpen (and Carrington,"Newtongrange, Cockpen (and Carrington", EH19 3HU,Yes+,1888
NO873862,Dr McIntosh,"Stonehaven , Dr McIntosh",n/t,Unknown,1888
NT254740,St Georges in the West,"Aberdeen, St Georges in the West",EH2 2PA,Scrap,1889
NS232240,Barony St John's,"Ardrossan , Barony St John's",,Scrap,1889
NJ390610,Moray Crematorium,"Enzie, Moray Crematorium",,Yes,1889
NO465509,Lowson Memorial Par.,"Forfar, Lowson Memorial Par.",,Overhaul,1889
NO457402,St John Episcopal,"Forfar, St John Episcopal",,rebuild,1889
NJ790385,All Saints' Episcopal,"Fyvie , All Saints' Episcopal", AB53 8PL ,Overhaul,1889
NS285757,East Parish,"Greenock, East Parish", PA15 2BH,Scrap,1889
NJ89.10.,Private Residence,"Aberdeen, Private Residence",,Unknown,1890
NJ942081,St.Ninian's Episcopal,"Aberdeen, St.Ninian's Episcopal",AB24 1SJ,Scrap,1889
NO800740,St Ternan's Parish Church ,"Arbuthnott , St Ternan's Parish Church ",,Yes,1890
NH610504,St.John the Evangelist Episcopal,"Black Isle, St.John the Evangelist Episcopal",IV1 3XD ,Scrap,1890
ND361511,Old Parish,"Wick, Old Parish",KW1 4BS,Yes,1890
NO560030,Chalmers Memorial,"Anstruther, Chalmers Memorial",,Scrap,1891
NT545853,St.Baldred's Episcopal,"North Berwick, St.Baldred's Episcopal",EH39 4AY,Scrap,1891
NJ902073,Mastrick,"Aberdeen, Mastrick",AB16 6TR,Scrap,1892
NO222398,The Abbey Church,"Coupar Angus, The Abbey Church",,Yes,1892
NJ990660,St. Peter ,"Fraserburgh , St. Peter ",,rebuild,1892
NJ996670,St. Andrew,"Fraserburgh , St. Andrew",,Scrap,1892
NJ868311,,"Tarves, ",AB41 7JU,Yes,1892
NJ944065,North & Trinity Parish Church,"Aberdeen, North & Trinity Parish Church", AB24 5TJ ,Scrap,1893
NJ935062,Denburn Parish,"Aberdeen, Denburn Parish",AB10 1RR,Scrap,1893
NJ998670,West Free,"Fraserburgh , West Free",AB43 9HH,Scrap,1893
NS678656,"St Peter's East, Garden St","Glasgow, St Peter's East, Garden St",n/t,Scrap,1893
NM858303,St John the Evangelist Episcopal,"Oban, St John the Evangelist Episcopal",PA34 5QE,Scrap,1893
NJ945553,All Saints' Episcopal,"Strichen, All Saints' Episcopal",AB43 6TT,Yes+,1893
NJ945065,St Peter's Roman Catholic,"Aberdeen, St Peter's Roman Catholic", AB11 5HX ,Overhaul,1895
NJ931069,Royal Blind Asylum,"Aberdeen, Royal Blind Asylum",,rebuild,1895
NJ928059,"St. Mary's, Carden Pl.","Aberdeen, St. Mary's, Carden Pl.", AB10 1UN,Yes,1895
NO647411,St Mary's Episcopal,"Arbroath, St Mary's Episcopal",,Yes-,1895
NO703959,Mr Cuncliffe,"Banchory , Mr Cuncliffe",n/t,Unknown,1895
HU478411,Parish,"Lerwick, Parish",,rebuild,1895
NO856992,Blairs College,"Maryculter , Blairs College",,Overhaul,1895
NJ945062,Elim Church,"Aberdeen, Elim Church", AB11 5AL ,Scrap,1896
NS584610,Cathcart Congregational,"Glasgow, Cathcart Congregational",G44 4AZ,Yes,1896
NO718615,Laurencekirk Parish,"Laurencekirk, Laurencekirk Parish",AB30 1AJ,Scrap,1896
NJ978476,St. Drostan's Episcopal,"Old Deer, St. Drostan's Episcopal",AB42 5LJ,rebuild,1896
NS575657,St Vincent's,"Glasgow, St Vincent's",n/t,Scrap,1897
NJ731329,"St George's Episcopal, Folla Rule","Rothienorman, St George's Episcopal, Folla Rule",AB51 8UN,Scrap,1897
NJ931071,Royal Cornhill Hospital ,"Aberdeen, Royal Cornhill Hospital ",,Scrap,1898
NJ935064,Gilcomston Park Baptist Church,"Aberdeen, Gilcomston Park Baptist Church",AB25 1PN,moved,1898
NH701552,Parish,"Avoch, Parish",IV9 8QJ,Yes,1898
NJ813273,Meldrum and Bourtie Parish Church,"Oldmeldrum , Meldrum and Bourtie Parish Church", AB51 0FP ,Scrap,1898
NK132423,United Free,"Peterhead, United Free",AB42 3AS,Yes-,1898
NJ623522,St. Marnoch's Episcopal,"Aberchirder , St. Marnoch's Episcopal", AB54 5SY ,rebuild,1899
NJ246605,"Norman Tower 
res of C J Revells","Elgin, Norman Tower 
res of C J Revells",n/t,moved,1899
